SLIC,Facility Latitude,Facility Longitude
8GRN,39.8649,-75.0424
8JE,39.8649,-75.0424
1,40.762,-73.9989
1001,40.726,-74.0094
1002,40.726,-74.0094
1003,40.726,-74.0094
1004,40.762,-73.9989
1006,40.762,-73.9989
1007,40.733875,-73.936125
1008,40.762,-73.9989
1009,40.762,-73.9989
1011,40.762,-73.9989
1013,40.762,-73.9989
1014,40.8116,-73.9291
1015,40.73521429,-73.93911429
1017,40.762,-73.9989
1019,40.762,-73.9989
1021,40.8116,-73.9291
1022,40.762,-73.9989
1023,40.762,-73.9989
1025,40.762,-73.9989
1027,40.726,-74.0094
1028,40.762,-73.9989
1029,40.726,-74.0094
103,40.6016,-74.1818
1033,40.762,-73.9989
1037,40.762,-73.9989
1038,40.8996,-73.832
1041,40.8176,-73.8385
1044,40.8176,-73.8385
1046,40.8176,-73.8385
1047,40.726,-74.0094
1048,40.75553333,-73.88963333
1049,40.8176,-73.8385
104MS,42.27,-79.71
105,41.2688,-73.7789
1051,41.2688,-73.7789
1053,41.2688,-73.7789
1056,41.0636,-73.819
1058,41.0636,-73.819
1068,41.0636,-73.819
1069,41.0636,-73.819
107,40.8903,-73.8196
1078,40.726,-74.0094
1084,41.10855,-75.132375
1086,40.7777,-73.67753333
1089,40.8903,-73.8196
108AM,42.27,-79.71
109,41.1053,-74.0324
1091,41.1053,-74.0324
1093,41.1053,-74.0324
1098,41.1053,-74.0324
1101,39.8586,-75.2606
1108,40.7245,-73.9152
110CP,40.7245,-73.9152
110PT,0,0
111,40.7245,-73.9152
1111,42.27,-79.71
1117,40.7245,-73.9152
1118,40.7245,-73.9152
1119,40.7245,-73.9152
111SP,40.7245,-73.9152
1122,40.6426,-73.916
1123,40.6426,-73.916
1124,40.6426,-73.916
1125,40.6426,-73.916
1126,40.6426,-73.916
1128,40.6972,-73.91546667
1129,40.6426,-73.916
112SK,0,0
113,40.7245,-73.9152
1133,40.7245,-73.9152
1137,40.6426,-73.916
114,40.7245,-73.9152
1142,40.7214,-73.6065
1145,40.7214,-73.6065
1148,40.7245,-73.9152
1149,40.6527,-73.7952
114CP,40.7245,-73.9152
114HA,40.7214,-73.6065
114HU,40.7214,-73.6065
114SF,0,0
1151,40.7214,-73.6065
1152,40.7214,-73.6065
1156,40.7214,-73.6065
1158,40.7214,-73.6065
1159,40.7214,-73.6065
115GC,0,0
1164,0,0
1165,16.3018,-29.36784
1166,20.3213,-36.958
116CP,0,0
116Z,42.27,-79.71
117,40.8301,-73.0213
1174,40.7545,-73.4196
