SLIC,SLIC Name,OpTyp,Desc,Building,Building Name,Region Num,Region Name,District Num,District Name,Facility Latitude,Facility Longitude,Organization Country Cd
193,LYNNFIELD SOUTH,PKG,REGULAR PACKAGE CENTER,199,LYNNFIELD,7,NORTHEAST,62,NO NEW ENGLAND,42.5065,-71.0344,US
198,CHELMSFORD,CPU,CENTRAL PICKUP,189,CHELMSFORD,7,NORTHEAST,62,NO NEW ENGLAND,42.6001,-71.3046,US
198,CHELMSFORD - N,CPU,CENTRAL PICKUP,189,CHELMSFORD,7,EAST REGION,36,NORTHEAST,42.6001,-71.3046,US
198,CHELMSFORD - N,CPU,CENTRAL PICKUP,189,CHELMSFORD,7,NORTHEAST,62,NO NEW ENGLAND,42.6001,-71.3046,US
199,LYNNFIELD SORT,HUB,HUB/CENTRAL SORT,199,LYNNFIELD,7,EAST REGION,36,NORTHEAST,42.5065,-71.0344,US
199,LYNNFIELD SORT,HUB,HUB/CENTRAL SORT,199,LYNNFIELD,7,NORTHEAST,62,NO NEW ENGLAND,42.5065,-71.0344,US
01CAS,CAMBRIDGE SOUND MANAGEMNT,CPU,CUSTOMER SHIPPING LOC,189,CHELMSFORD,7,EAST REGION,36,NORTHEAST,42.6001,-71.3046,US
01CAS,Customer Location,CSL,CUSTOMER SHIPPING LOC,01CAS,Customer Location,7,EAST REGION,36,NORTHEAST,0,0,US
200,BROCKTON - 0189 CPU,CPU,CENTRAL PICKUP,249,BROCKTON,7,EAST REGION,36,NORTHEAST,42.0501,-71.0034,US
200,BROCKTON - 0189 CPU,CPU,CENTRAL PICKUP,249,BROCKTON,7,NORTHEAST,36,EAST NEW ENGLAND,42.0501,-71.0034,US
200,BROCKTON MDC,PKG,CENTRAL PICKUP,249,BROCKTON,7,EAST REGION,36,NORTHEAST,42.0501,-71.0034,US
200,BROCKTON WEST CPU,CPU,CENTRAL PICKUP,249,BROCKTON,7,EAST REGION,36,NORTHEAST,42.0501,-71.0034,US
201,ASHLAND - 0170 CPU,CPU,CENTRAL PICKUP,170,ASHLAND,7,EAST REGION,36,NORTHEAST,42.2508,-71.429,US
201,ASHLAND - 0170 CPU,CPU,CENTRAL PICKUP,170,ASHLAND,7,NORTHEAST,36,EAST NEW ENGLAND,42.2508,-71.429,US
203,NORWOOD-QUINCY,PKG,REGULAR PACKAGE CENTER,209,NORWOOD,7,EAST REGION,36,NORTHEAST,42.2076,-71.1795,US
203,NORWOOD-QUINCY,PKG,REGULAR PACKAGE CENTER,209,NORWOOD,7,NORTHEAST,36,EAST NEW ENGLAND,42.2076,-71.1795,US
204,QUINCY - 0299 CPU,CPU,CENTRAL PICKUP,209,NORWOOD,7,EAST REGION,36,NORTHEAST,42.2076,-71.1795,US
204,QUINCY - 0299 CPU,CPU,CENTRAL PICKUP,209,NORWOOD,7,NORTHEAST,36,EAST NEW ENGLAND,42.2076,-71.1795,US
205,FRANKLIN - 0299 CPU,CPU,CENTRAL PICKUP,209,NORWOOD,7,EAST REGION,36,NORTHEAST,42.2076,-71.1795,US
205,FRANKLIN - 0299 CPU,CPU,CENTRAL PICKUP,209,NORWOOD,7,NORTHEAST,36,EAST NEW ENGLAND,42.2076,-71.1795,US
206,QUINCY - 0209 CPU,CPU,CENTRAL PICKUP,209,NORWOOD,7,EAST REGION,36,NORTHEAST,42.2076,-71.1795,US
206,QUINCY - 0209 CPU,CPU,CENTRAL PICKUP,209,NORWOOD,7,NORTHEAST,36,EAST NEW ENGLAND,42.2076,-71.1795,US
207,WALTHAM - 0219 CPU,CPU,CENTRAL PICKUP,219,WATERTOWN,7,EAST REGION,36,NORTHEAST,42.363,-71.1539,US
207,WALTHAM - 0219 CPU,CPU,CENTRAL PICKUP,219,WATERTOWN,7,NORTHEAST,36,EAST NEW ENGLAND,42.363,-71.1539,US
208,SOMERVILLE - 0231 CPU,CPU,CENTRAL PICKUP,212,SOMERVILLE,7,EAST REGION,36,NORTHEAST,42.3775,-71.0796,US
208,SOMERVILLE - 0231 CPU,CPU,CENTRAL PICKUP,212,SOMERVILLE,7,NORTHEAST,36,EAST NEW ENGLAND,42.3775,-71.0796,US
209,NORWOOD HUB,HUB,HUB/CENTRAL SORT,209,NORWOOD,7,EAST REGION,36,NORTHEAST,42.2076,-71.1795,US
209,NORWOOD HUB,HUB,HUB/CENTRAL SORT,209,NORWOOD,7,NORTHEAST,36,EAST NEW ENGLAND,42.2076,-71.1795,US
210,WATERTOWN-BACK BAY,PKG,REGULAR PACKAGE CENTER,219,WATERTOWN,7,EAST REGION,36,NORTHEAST,42.363,-71.1539,US
210,WATERTOWN-BACK BAY,PKG,REGULAR PACKAGE CENTER,219,WATERTOWN,7,NORTHEAST,36,EAST NEW ENGLAND,42.363,-71.1539,US
211,BROCKTON - BRAINTREE,PKG,REGULAR PACKAGE CENTER,249,BROCKTON,7,NORTHEAST,36,EAST NEW ENGLAND,42.0501,-71.0034,US
211,BROCKTON EAST,PKG,REGULAR PACKAGE CENTER,249,BROCKTON,7,EAST REGION,36,NORTHEAST,42.0501,-71.0034,US
211,BROCKTON EAST,PKG,REGULAR PACKAGE CENTER,249,BROCKTON,7,NORTHEAST,36,EAST NEW ENGLAND,42.0501,-71.0034,US
212,SOMERVILLE,PKG,REGULAR PACKAGE CENTER,212,SOMERVILLE,7,EAST REGION,36,NORTHEAST,42.3775,-71.0796,US
212,SOMERVILLE,PKG,REGULAR PACKAGE CENTER,212,SOMERVILLE,7,NORTHEAST,36,EAST NEW ENGLAND,42.3775,-71.0796,US
213,NORWOOD-FRANKLIN,PKG,REGULAR PACKAGE CENTER,209,NORWOOD,7,EAST REGION,36,NORTHEAST,42.2076,-71.1795,US
213,NORWOOD-FRANKLIN,PKG,REGULAR PACKAGE CENTER,209,NORWOOD,7,NORTHEAST,36,EAST NEW ENGLAND,42.2076,-71.1795,US
214,ALSTON (WATERTOWN),RRY,RAIL YARD,219,WATERTOWN,7,EAST REGION,36,NORTHEAST,42.363,-71.1539,US
214,ALSTON (WATERTOWN),RRY,RAIL YARD,219,WATERTOWN,7,NORTHEAST,36,EAST NEW ENGLAND,42.363,-71.1539,US
215,WATERTOWN-WALTHAM,PKG,REGULAR PACKAGE CENTER,219,WATERTOWN,7,EAST REGION,36,NORTHEAST,42.363,-71.1539,US
