,SLIC,SLIC_State
1282,1497, ON
1283,1499, NY
1284,149R , NY
1285,14AJ , NY
1286,14AM , NY
1287,14BB , NY
1288,14BU , NY
1289,14CD , NY
1290,14CP , NY
1291,14DT , NY
1292,14KM , NY
1293,14KT , NY
1294,14NA , NY
1295,14NB , NY
1296,14NC , NY
1297,14ND , NY
1298,14NE , NY
1299,14NF , NY
1300,14NG , NY
1301,14NH , NY
1302,14NJ , NY
1303,14NK , NY
1304,14NL , NY
1305,14NM , NY
1306,14NN , NY
1307,14NP , NY
1308,14NS , NY
1309,14PE , NY
1310,14PY , NY
1311,14UA , NY
1312,1500, PA
1313,1501, PA
1314,1502, PA
1315,1506, PA
1316,1507, PA
1317,1509, PA
1318,1510, PA
1319,1512, PA
1320,1513, PA
1321,1515, PA
1322,1516, PA
1323,1518, PA
1324,1519, PA
1325,1520, PA
1326,1522, PA
1327,1523, PA
1328,1525, PA
1329,1529, PA
1330,1530, PA
1331,1531, PA
1332,1532, PA
1333,1538, PA
1334,1540, PA
1335,1543, PA
1336,1544, NB
1337,1545, NB
1338,1546, PA
1339,1548, PA
1340,1549, NB
1341,1556, PA
1342,1557, PA
1343,1558, PA
1344,1559, PA
1345,1560, PA
1346,1562, PA
1347,1563, PA
1348,1564, PA
1349,1565, NB
1350,1566, PA
1351,1568, PA
1352,1569, PA
1353,1570, PA
1354,1573, PA
1355,1575, NB
1356,1576, PA
1357,1579, PA
1358,1580, PA
1359,1584, PA
1360,1585, NB
1361,1589, PA
1362,1590, PA
1363,1594, PA
1364,1596, PA
1365,1598, PA
1366,1599, PA
1367,15BD , PA
1368,15BV , PA
1369,15CA , PA
1370,15CL , PA
1371,15CM , PA
1372,15CS , PA
1373,15CT , PA
1374,15CY , PA
1375,15DN , PA
1376,15DU , PA
1377,15DX , PA
1378,15GP , PA
1379,15JT , PA
1380,15KS , PA
1381,15KT , WV
1382,15MF , PA
1383,15MM , PA
1384,15NA , PA
1385,15NB , PA
1386,15NC , PA
1387,15ND , PA
1388,15NE , PA
1389,15NF , PA
1390,15NG , PA
1391,15NH , PA
1392,15NJ , PA
1393,15NK , PA
1394,15NL , PA
1395,15NP , PA
1396,15NS , PA
1397,15PA , PA
1398,15PI , PA
1399,15PL , PA
1400,15PM , PA
1401,15RP , PA
1402,15RT , PA
1403,15SM , PA
1404,15SV , PA
1405,15TO , PA
1406,15TP , PA
1407,15WB , PA
1408,15WM , PA
1409,15ZS , PA
1410,1600, PA
1411,1605, NS
1412,1606, PA
1413,1607, PA
1414,1610, PA
1415,1612, TN
1416,1613, TN
1417,1616, PA
1418,1617, VA
1419,1622, CT
1420,1623, MA
1421,1625, NB
1422,1626, MA
1423,1627, ME
1424,1628, PA
1425,1630, PA
1426,1631, PA
1427,1632, PA
1428,1634, PA
1429,1635, PA
1430,1636, PA
1431,1638, PA
1432,1639, PA
1433,1645, NS
1434,1647, NJ
1435,1649, PA
1436,1650, PA
1437,1651, PA
1438,1652, NY
1439,1653, NY
1440,1655, NB
1441,1656, PA
1442,1657, NY
1443,1659, PA
1444,1660, PA
1445,1662, PA
1446,1663, PA
1447,1666, PA
1448,1669, PA
1449,1672, VT
1450,1673, KS
1451,1676, ON
1452,1677, MO
1453,1679, PA
1454,1680, PA
1455,1681, MO
1456,1682, MO
1457,1683, OK
1458,1684, MO
1459,1685, PA
1460,1686, PA
1461,1687, PA
1462,1688, PA
1463,1689, PA
1464,168CP, PA
1465,1692, OK
1466,1693, PA
1467,1694, TN
1468,1696, PA
1469,1697, TX
1470,1698, PA
1471,16BK , PA
1472,16CF , PA
1473,16MC , PA
1474,16MF , PA
1475,16PL , PA
1476,16XO , TX
1477,1700, PA
1478,1701, PA
1479,1702, PA
1480,1705, PA
1481,1706, PA
1482,1708, PA
1483,1709, PA
1484,170A , PA
1485,170AZ, PA
1486,170NS, PA
1487,170OS, PA
1488,170SH, PA
1489,1711, PA
1490,1712, PA
1491,1713, PA
1492,1714, PA
1493,1715, PA
1494,1716, PA
1495,1717, PA
1496,1718, PA
1497,1719, PA
1498,171AM, PA
1499,171AP, PA
1500,171AZ, PA
1501,171CH, PA
1502,1720, PA
1503,1721, PA
1504,1722, PA
1505,1723, PA
1506,1724, PA
1507,1725, NB
1508,1726, PA
1509,1728, PA
1510,1729, PA
1511,1730, PA
1512,1731, PA
1513,1732, PA
1514,1733, PA
1515,1735, NB
1516,1737, PA
1517,1738, PA
1518,1740, PA
1519,1742, PA
1520,1743, PA
1521,1744, PA
1522,1745, NB
1523,1748, PA
1524,1749, PA
1525,174TC, PA
1526,1750, PA
1527,1752, PA
1528,1753, PA
1529,1754, PA
1530,1755, PA
1531,1756, PA
1532,1757, PA
1533,1758, PA
1534,1759, PA
1535,175UO, PA
1536,1760, PA
1537,1762, PA
1538,1763,   
1539,1764, PA
1540,1765, PA
1541,1766, PA
1542,1767, PA
1543,1768, PA
1544,1769, PA
1545,176QV, PA
1546,176QW, PA
1547,176WR, PA
1548,1770, PA
1549,1771,   
1550,1773, PA
1551,1773Z, PA
1552,1774, PA
1553,1778, PA
1554,1779, PA
1555,1780, PA
1556,1784, PA
1557,1784Z, PA
1558,1787, PA
1559,1788, PA
1560,1789, PA
1561,1790, PA
1562,1794, PA
1563,1794Z, PA
1564,1797, PA
1565,1798, PA
1566,17BW , PA
1567,17CI , PA
1568,17DB , PA
1569,17EM , PA
1570,17ET , PA
1571,17GL , PA
1572,17IS , PA
1573,17KW , PA
1574,17MR , PA
1575,17NA , PA
1576,17NB , PA
1577,17NC , PA
1578,17ND , PA
1579,17NE , PA
1580,17NF , PA
1581,17NG , PA
1582,17NH , PA
1583,17NK , PA
1584,17NL , PA
1585,17NN , PA
1586,17NO , PA
1587,17NQ , PA
1588,17NR , PA
1589,17NS , PA
1590,17NU , PA
1591,17NV , PA
1592,17NW , PA
1593,17NY , PA
1594,17PEN, PA
1595,17PG , PA
1596,17PH , PA
1597,17PO , PA
1598,17PW , PA
1599,17PY , PA
1600,17RA , PA
1601,17RB , PA
1602,17RL , PA
1603,17RNM, PA
1604,17SC , PA
1605,17SD , PA
1606,17SF , PA
1607,17SK , PA
1608,17SY , PA
1609,17TP , PA
1610,17TR , PA
1611,17TY , PA
1612,17UF , PA
1613,17WH , PA
1614,17ZG , PA
1615,1800, PA
1616,1801, PA
1617,1805, PA
1618,1806, PA
1619,1807, PA
1620,1809, PA
1621,180AM, PA
1622,180CD, PA
1623,180CN, PA
