,CC,SLIC,SORT,CAP,SPAN,STRT,SLIC_State,Facility Latitude,Facility Longitude
80,US,309,T,1109999,403,1700, GA,42.9443,-71.4366
81,US,319,L,7314,328,1700, NH,42.9432,-71.4525
82,US,319,L,7314,328,1700, GA,42.9432,-71.4525
83,US,319,P,14640,403,400, NH,42.9432,-71.4525
84,US,319,P,14640,403,400, GA,42.9432,-71.4525
85,US,399,L,3772,328,1700, NH,42.7564,-71.4905
86,US,399,P,13643,403,400, NH,42.7564,-71.4905
87,US,419,L,14227,328,1700, ME,43.6405,-70.3217
88,US,419,P,11900,403,400, ME,43.6405,-70.3217
89,US,422,L,4270,328,1700, ME,44.0445,-70.2931
90,US,422,P,10286,403,400, ME,44.0445,-70.2931
102,US,609,L,20972,328,1700, CT,41.9271,-72.6319
103,US,609,L,20972,328,1700, IL,41.9271,-72.6319
104,US,609,N,20580,403,2200, CT,41.9271,-72.6319
105,US,609,N,20580,403,2200, IL,41.9271,-72.6319
106,US,609,P,6150,403,400, CT,41.9271,-72.6319
107,US,609,P,6150,403,400, IL,41.9271,-72.6319
108,US,609,S,2850,403,300, CT,41.9271,-72.6319
109,US,609,S,2850,403,300, IL,41.9271,-72.6319
110,US,609,T,23324,403,1700, CT,41.9271,-72.6319
111,US,609,T,23324,403,1700, IL,41.9271,-72.6319
112,US,619,D,34205,478,1100, CT,41.7453,-72.6645
113,US,619,N,40000,403,2200, CT,41.7453,-72.6645
114,US,619,P,6253,403,400, CT,41.7453,-72.6645
115,US,619,T,40000,403,1700, CT,41.7453,-72.6645
116,US,635,L,3158,328,1700, CT,41.3677,-72.126
117,US,635,L,3158,328,1700, MO,41.3677,-72.126
118,US,635,P,2400,403,400, CT,41.3677,-72.126
119,US,635,P,2400,403,400, MO,41.3677,-72.126
120,US,647,L,3906,328,1700, CT,41.2478,-72.9924
121,US,647,L,3906,328,1700, MO,41.2478,-72.9924
122,US,647,P,4840,403,400, CT,41.2478,-72.9924
123,US,647,P,4840,403,400, MO,41.2478,-72.9924
124,US,649,L,10167,328,1700, CT,41.5651,-72.1535
125,US,649,P,9540,403,400, CT,41.5651,-72.1535
126,US,652,L,5102,328,1700, CT,41.3682,-72.883
127,US,652,L,5102,328,1700, MO,41.3682,-72.883
128,US,652,P,7449,403,400, CT,41.3682,-72.883
129,US,652,P,7449,403,400, MO,41.3682,-72.883
130,US,669,N,34000,403,2200, CT,41.1728,-73.1503
131,US,669,P,13000,403,400, CT,41.1728,-73.1503
132,US,669,T,34000,403,1700, CT,41.1728,-73.1503
133,US,679,P,11001,403,400, CT,41.6073,-73.0803
