SLIC,Region Num,District Num,Facility Latitude,Facility Longitude,CC,SORT,CAP,SPAN,STRT
1269,7.0,23.5,41.4976,-74.0221,US,L,3888.0,328.0,1700.0
1269,7.0,23.5,41.4976,-74.0221,US,P,4300.0,403.0,400.0
1289,7.666666666666667,26.666666666666668,44.7035,-73.5409,US,P,4300.0,403.0,400.0
1289,7.666666666666667,26.666666666666668,44.7035,-73.5409,US,T,20000.0,403.0,1700.0
1302,7.666666666666667,26.666666666666668,42.6036,-76.1641,US,L,2834.0,328.0,1700.0
1302,7.666666666666667,26.666666666666668,42.6036,-76.1641,US,P,1389.0,403.0,400.0
1319,7.666666666666667,26.666666666666668,43.1114,-76.1253,US,S,2220.0,403.0,300.0
1319,7.666666666666667,26.666666666666668,43.1114,-76.1253,US,T,2000.0,403.0,1700.0
1329,7.666666666666667,26.666666666666668,43.1088,-76.0772,US,N,84000.0,403.0,2200.0
1329,7.666666666666667,26.666666666666668,43.1088,-76.0772,US,P,6867.0,403.0,400.0
1329,7.666666666666667,26.666666666666668,43.1088,-76.0772,US,T,84000.0,403.0,1700.0
1359,7.666666666666667,26.666666666666668,43.0916,-75.3129,US,S,1099999.0,403.0,300.0
1361,7.666666666666667,26.666666666666668,44.669900000000005,-74.9581,US,L,4167.0,328.0,1700.0
1361,7.666666666666667,26.666666666666668,44.669900000000005,-74.9581,US,P,1760.0,403.0,400.0
1399,7.666666666666667,26.666666666666668,42.108999999999995,-75.9781,US,L,3459.0,328.0,1700.0
1399,7.666666666666667,26.666666666666668,42.108999999999995,-75.9781,US,P,2579.0,403.0,400.0
1401,7.666666666666667,26.666666666666668,42.4841,-79.3459,US,L,2806.0,328.0,1700.0
1401,7.666666666666667,26.666666666666668,42.4841,-79.3459,US,P,1223.0,403.0,400.0
1429,7.666666666666667,26.666666666666668,42.8847,-78.8037,US,N,44000.0,403.0,2200.0
1429,7.666666666666667,26.666666666666668,42.8847,-78.8037,US,P,8316.0,403.0,400.0
1429,7.666666666666667,26.666666666666668,42.8847,-78.8037,US,S,44000.0,403.0,300.0
1429,7.666666666666667,26.666666666666668,42.8847,-78.8037,US,T,44000.0,403.0,1700.0
1439,7.666666666666667,26.666666666666668,42.93699999999999,-78.7442,US,S,2592.0,403.0,300.0
1439,7.666666666666667,26.666666666666668,42.93699999999999,-78.7442,US,T,1540.0,403.0,1700.0
1449,7.666666666666667,26.666666666666668,43.0593,-77.6073,US,L,13026.0,328.0,1700.0
1449,7.666666666666667,26.666666666666668,43.0593,-77.6073,US,P,12000.0,403.0,400.0
1469,7.666666666666667,26.666666666666668,43.1664,-77.6052,US,L,5796.0,328.0,1700.0
1469,7.666666666666667,26.666666666666668,43.1664,-77.6052,US,P,5956.0,403.0,400.0
1471,7.666666666666667,26.666666666666668,42.0849,-78.4895,US,L,4167.0,328.0,1700.0
1471,7.666666666666667,26.666666666666668,42.0849,-78.4895,US,P,2175.0,403.0,400.0
1481,7.666666666666667,26.666666666666668,42.4695,-76.4648,US,L,4251.0,328.0,1700.0
1481,7.666666666666667,26.666666666666668,42.4695,-76.4648,US,P,2375.0,403.0,400.0
1482,7.666666666666667,26.666666666666668,42.1592,-77.1117,US,L,4834.0,328.0,1700.0
1482,7.666666666666667,26.666666666666668,42.1592,-77.1117,US,P,2220.0,403.0,400.0
1499,7.666666666666667,26.666666666666668,42.1677,-76.8212,US,S,770000.0,403.0,300.0
1501,7.5,32.0,40.72,-80.2959,US,L,4675.0,328.0,1700.0
1501,7.5,32.0,40.72,-80.2959,US,P,1960.0,403.0,400.0
1509,7.5,32.0,40.49800000000001,-80.2141,US,A,870000.0,150.0,900.0
1509,7.5,32.0,40.49800000000001,-80.2141,US,S,4640.0,403.0,300.0
1509,7.5,32.0,40.49800000000001,-80.2141,US,T,3160.0,403.0,1700.0
1519,7.5,32.0,40.4468,-80.0826,US,L,4600.0,328.0,1700.0
1519,7.5,32.0,40.4468,-80.0826,US,P,11250.0,403.0,400.0
1523,7.4,32.0,24.268739999999998,-47.99646,US,L,1079999.0,328.0,1700.0
1523,7.4,32.0,24.268739999999998,-47.99646,US,P,960000.0,403.0,400.0
1529,7.4,32.0,40.4575,-80.0302,US,L,13850.0,328.0,1700.0
1529,7.4,32.0,40.4575,-80.0302,US,P,11250.0,403.0,400.0
1559,7.5,32.0,40.2824,-78.8433,US,L,4003.0,328.0,1700.0
1559,7.5,32.0,40.2824,-78.8433,US,P,4600.0,403.0,400.0
1569,7.5,32.0,40.2252,-79.6116,US,D,136000.0,478.0,1100.0
1569,7.5,32.0,40.2252,-79.6116,US,N,136000.0,403.0,2200.0
1569,7.5,32.0,40.2252,-79.6116,US,P,11676.0,403.0,400.0
1569,7.5,32.0,40.2252,-79.6116,US,S,136000.0,403.0,300.0
1569,7.5,32.0,40.2252,-79.6116,US,T,136000.0,403.0,1700.0
1589,7.5,32.0,41.1255,-78.7477,US,L,5482.0,328.0,1700.0
1589,7.5,32.0,41.1255,-78.7477,US,P,4800.0,403.0,400.0
1631,7.5,32.0,41.6217,-80.2082,US,L,4856.0,328.0,1700.0
1631,7.5,32.0,41.6217,-80.2082,US,P,1190.0,403.0,400.0
1632,7.5,32.0,41.6606,-78.8,US,L,3661.0,328.0,1700.0
1632,7.5,32.0,41.6606,-78.8,US,P,1820.0,403.0,400.0
1649,7.5,32.0,42.08600000000001,-80.0743,US,L,5485.0,328.0,1700.0
1649,7.5,32.0,42.08600000000001,-80.0743,US,P,6260.0,403.0,400.0
1669,7.5,32.0,40.4993,-78.3976,US,L,4075.0,328.0,1700.0
1669,7.5,32.0,40.4993,-78.3976,US,P,2202.0,403.0,400.0
1709,7.5,33.0,40.1955,-76.7421,US,S,1900.0,403.0,300.0
1709,7.5,33.0,40.1955,-76.7421,US,T,2000.0,403.0,1700.0
1714,7.8,33.2,40.3237,-76.7107,US,L,860000.0,328.0,1700.0
1719,7.5,33.0,40.2429,-76.8472,US,D,83000.0,478.0,1100.0
1719,7.5,33.0,40.2429,-76.8472,US,N,83000.0,403.0,2200.0
1719,7.5,33.0,40.2429,-76.8472,US,P,6256.0,403.0,400.0
1719,7.5,33.0,40.2429,-76.8472,US,T,83000.0,403.0,1700.0
1731,7.5,33.0,39.7721,-77.2408,US,L,674.0,328.0,1700.0
1731,7.5,33.0,39.7721,-77.2408,US,P,2400.0,403.0,400.0
1749,7.5,33.0,40.049,-76.7468,US,L,5141.0,328.0,1700.0
1749,7.5,33.0,40.049,-76.7468,US,P,4640.0,403.0,400.0
1749,7.5,33.0,40.049,-76.7468,US,S,1199999.0,403.0,300.0
1759,7.5,33.0,40.0899,-76.3498,US,P,17150.0,403.0,400.0
1759,7.5,33.0,40.0899,-76.3498,US,T,60000.0,403.0,1700.0
1789,7.5,33.0,40.7812,-76.8654,US,L,4006.0,328.0,1700.0
1789,7.5,33.0,40.7812,-76.8654,US,P,3584.0,403.0,400.0
1798,7.222222222222222,32.888888888888886,36.06415555555555,-68.36702222222222,US,L,750000.0,328.0,1700.0
1819,7.5,33.0,40.6675,-75.3848,US,L,21828.0,328.0,1700.0
1819,7.5,33.0,40.6675,-75.3848,US,P,13851.0,403.0,400.0
1859,7.5,33.0,41.3883,-75.7125,US,L,9415.0,328.0,1700.0
1859,7.5,33.0,41.3883,-75.7125,US,P,4488.0,403.0,400.0
1869,7.5,33.0,41.325,-75.7517,US,L,7727.0,328.0,1700.0
1869,7.5,33.0,41.325,-75.7517,US,P,6375.0,403.0,400.0
1909,7.666666666666667,33.0,40.1607,-75.1392,US,D,102000.0,478.0,1100.0
1909,7.666666666666667,33.0,40.1607,-75.1392,US,N,102000.0,403.0,2200.0
1909,7.666666666666667,33.0,40.1607,-75.1392,US,P,8631.0,403.0,400.0
1909,7.666666666666667,33.0,40.1607,-75.1392,US,T,102000.0,403.0,1700.0
1919,7.666666666666667,33.0,39.9137,-75.1469,US,P,10985.0,403.0,400.0
1919,7.666666666666667,33.0,39.9137,-75.1469,US,T,44000.0,403.0,1700.0
1939,7.666666666666667,33.0,39.9881,-75.5813,US,P,17658.0,403.0,400.0
1939,7.666666666666667,33.0,39.9881,-75.5813,US,T,53000.0,403.0,1700.0
1949,7.666666666666667,33.0,39.8586,-75.2606,US,D,72797.0,478.0,1100.0
1949,7.666666666666667,33.0,39.8586,-75.2606,US,N,98916.0,403.0,2200.0
1949,7.666666666666667,33.0,39.8586,-75.2606,US,P,13197.0,403.0,400.0
1949,7.666666666666667,33.0,39.8586,-75.2606,US,T,73205.0,403.0,1700.0
1969,7.5,33.0,40.3903,-75.9375,US,L,7140.0,328.0,1700.0
1969,7.5,33.0,40.3903,-75.9375,US,P,8715.0,403.0,400.0
1979,6.0,25.25,39.6893,-75.6998,US,L,7485.0,328.0,1700.0
1979,6.0,25.25,39.6893,-75.6998,US,P,9020.0,403.0,400.0
1999,6.0,25.25,38.9426,-75.5641,US,L,3107.0,328.0,1700.0
1999,6.0,25.25,38.9426,-75.5641,US,P,6360.0,403.0,400.0
2019,6.666666666666667,36.333333333333336,38.9406,-76.8634,US,L,17343.0,328.0,1700.0
2019,6.666666666666667,36.333333333333336,38.9406,-76.8634,US,P,15026.0,403.0,400.0
2039,6.666666666666667,36.333333333333336,38.942,-76.8684,US,L,4673.0,328.0,1700.0
2039,6.666666666666667,36.333333333333336,38.942,-76.8684,US,P,11100.0,403.0,400.0
2049,6.666666666666667,36.333333333333336,39.118,-77.193,US,L,4747.0,328.0,1700.0
2049,6.666666666666667,36.333333333333336,39.118,-77.193,US,P,8600.0,403.0,400.0
2052,6.0,36.75,19.4512,-38.52285,US,L,1089999.0,328.0,1700.0
2052,6.0,36.75,19.4512,-38.52285,US,P,1159999.0,403.0,400.0
2059,6.666666666666667,36.333333333333336,38.6199,-76.9079,US,L,2001.0,328.0,1700.0
2059,6.666666666666667,36.333333333333336,38.6199,-76.9079,US,P,4000.0,403.0,400.0
2079,6.666666666666667,36.333333333333336,39.0934,-76.8994,US,D,99000.0,478.0,1100.0
2079,6.666666666666667,36.333333333333336,39.0934,-76.8994,US,N,99000.0,403.0,2200.0
2079,6.666666666666667,36.333333333333336,39.0934,-76.8994,US,P,14025.0,403.0,400.0
2079,6.666666666666667,36.333333333333336,39.0934,-76.8994,US,T,99000.0,403.0,1700.0
2119,6.0,25.25,39.5203,-76.6433,US,L,12344.0,328.0,1700.0
2119,6.0,25.25,39.5203,-76.6433,US,P,9625.0,403.0,400.0
2121,6.0,25.25,39.2626,-76.675,US,P,920000.0,403.0,400.0
2127,6.0,25.25,39.2626,-76.675,US,P,1209999.0,403.0,400.0
2129,6.0,25.25,39.2626,-76.675,US,N,75000.0,403.0,2200.0
