CC,SLIC,SORT,CAP,SPAN,STRT,SLIC_State,Facility Latitude,Facility Longitude
US,299,T,54000,403,1700, RI,41.7335,-71.4462
US,299,T,54000,403,1700, SC,41.7335,-71.4462
US,309,S,950000,403,300, NH,42.9443,-71.4366
US,309,S,950000,403,300, GA,42.9443,-71.4366
US,309,T,1109999,403,1700, NH,42.9443,-71.4366
US,309,T,1109999,403,1700, GA,42.9443,-71.4366
US,319,L,7314,328,1700, NH,42.9432,-71.4525
US,319,L,7314,328,1700, GA,42.9432,-71.4525
US,319,P,14640,403,400, NH,42.9432,-71.4525
US,319,P,14640,403,400, GA,42.9432,-71.4525
US,399,L,3772,328,1700, NH,42.7564,-71.4905
US,399,P,13643,403,400, NH,42.7564,-71.4905
US,419,L,14227,328,1700, ME,43.6405,-70.3217
US,419,P,11900,403,400, ME,43.6405,-70.3217
US,422,L,4270,328,1700, ME,44.0445,-70.2931
US,422,P,10286,403,400, ME,44.0445,-70.2931
US,432,L,1169999,328,1700, ME,0.0,0.0
US,432,L,1169999,328,1700, OH,0.0,0.0
US,449,L,6538,328,1700, ME,44.7886,-68.7609
US,449,L,6538,328,1700, OH,44.7886,-68.7609
US,449,P,5372,403,400, ME,44.7886,-68.7609
US,449,P,5372,403,400, OH,44.7886,-68.7609
US,449,S,20000,403,300, ME,44.7886,-68.7609
US,449,S,20000,403,300, OH,44.7886,-68.7609
US,471,L,814,328,1700, ME,46.1406,-67.8401
US,471,P,1315,403,400, ME,46.1406,-67.8401
US,609,L,20972,328,1700, CT,41.9271,-72.6319
US,609,L,20972,328,1700, IL,41.9271,-72.6319
US,609,N,20580,403,2200, CT,41.9271,-72.6319
US,609,N,20580,403,2200, IL,41.9271,-72.6319
US,609,P,6150,403,400, CT,41.9271,-72.6319
US,609,P,6150,403,400, IL,41.9271,-72.6319
US,609,S,2850,403,300, CT,41.9271,-72.6319
US,609,S,2850,403,300, IL,41.9271,-72.6319
US,609,T,23324,403,1700, CT,41.9271,-72.6319
US,609,T,23324,403,1700, IL,41.9271,-72.6319
