SLIC,Facility Latitude_x,Facility Longitude_x,OSLIC,DSLIC,VOL,Facility Latitude_y,Facility Longitude_y,VOL_LEVEL=
5,0.0,0.0,5,713,2.241,40.7539,-74.0636,1
5,0.0,0.0,5,721,1.609,40.5109,-74.3386,1
5,0.0,0.0,5,742,1.9769999999999999,40.8614,-74.4369,1
5,0.0,0.0,5,761,1.5030000000000001,40.8872,-74.1028,1
5,0.0,0.0,5,763,2.8710000000000004,40.7539,-74.0636,1
5,0.0,0.0,5,771,2.451,40.2833,-74.0781,1
5,0.0,0.0,5,776,1.609,40.2833,-74.0781,1
5,0.0,0.0,5,781,9.345,40.909,-74.7565,1
5,0.0,0.0,5,784,1.9240000000000002,40.909,-74.7565,1
5,0.0,0.0,5,791,2.555,40.5722,-74.5611,1
5,0.0,0.0,5,794,1.9769999999999999,40.8614,-74.4369,1
5,0.0,0.0,5,801,3.503,39.8649,-75.0424,1
5,0.0,0.0,5,802,1.819,39.8649,-75.0424,1
5,0.0,0.0,5,804,1.766,39.8649,-75.0424,1
5,0.0,0.0,5,851,2.714,40.2366,-74.7203,1
5,0.0,0.0,5,863,3.241,40.2366,-74.7203,1
5,0.0,0.0,5,871,1.8719999999999999,40.0727,-74.1796,1
5,0.0,0.0,5,881,1.819,40.5722,-74.5611,1
5,0.0,0.0,5,883,1.5030000000000001,40.5722,-74.5611,1
5,0.0,0.0,5,884,2.135,40.5109,-74.3386,1
5,0.0,0.0,5,886,1.714,0.0,0.0,1
5,0.0,0.0,5,887,2.082,40.5722,-74.5611,1
5,0.0,0.0,5,1001,1.767,40.726,-74.0094,1
5,0.0,0.0,5,1002,3.45,40.726,-74.0094,1
5,0.0,0.0,5,1003,3.451,40.726,-74.0094,1
5,0.0,0.0,5,1004,3.609,40.762,-73.9989,1
5,0.0,0.0,5,1007,2.03,40.733875,-73.936125,1
5,0.0,0.0,5,1011,1.8719999999999999,40.762,-73.9989,1
5,0.0,0.0,5,1013,5.977,40.762,-73.9989,1
5,0.0,0.0,5,1021,1.9240000000000002,40.8116,-73.9291,1
5,0.0,0.0,5,1022,2.714,40.762,-73.9989,1
5,0.0,0.0,5,1023,3.03,40.762,-73.9989,1
5,0.0,0.0,5,1027,1.4509999999999998,40.726,-74.0094,1
5,0.0,0.0,5,1044,1.609,40.8176,-73.8385,1
5,0.0,0.0,5,1056,2.083,41.0636,-73.819,1
5,0.0,0.0,5,1111,2.556,42.27,-79.71,1
5,0.0,0.0,5,1122,1.661,40.6426,-73.916,1
5,0.0,0.0,5,1123,1.556,40.6426,-73.916,1
5,0.0,0.0,5,1124,2.293,40.6426,-73.916,1
5,0.0,0.0,5,1125,3.24,40.6426,-73.916,1
5,0.0,0.0,5,1133,1.819,40.7245,-73.9152,1
5,0.0,0.0,5,1152,1.766,40.7214,-73.6065,1
5,0.0,0.0,5,1156,1.609,40.7214,-73.6065,1
5,0.0,0.0,5,1164,1.766,0.0,0.0,1
5,0.0,0.0,5,1165,1.556,16.3018,-29.36784,1
5,0.0,0.0,5,1166,2.082,20.3213,-36.958,1
5,0.0,0.0,5,1174,1.767,40.7545,-73.4196,1
5,0.0,0.0,5,1176,2.135,40.7545,-73.4196,1
5,0.0,0.0,5,1183,1.714,40.8301,-73.0213,1
5,0.0,0.0,5,1192,3.134,40.8301,-73.0213,1
5,0.0,0.0,5,1194,1.662,40.7545,-73.4196,1
5,0.0,0.0,5,1251,1.767,41.3453,-74.2765,1
5,0.0,0.0,5,1255,5.504,41.4976,-74.0221,1
5,0.0,0.0,5,1302,1.82,42.6036,-76.1641,1
5,0.0,0.0,5,1321,2.503,43.1088,-76.0772,1
5,0.0,0.0,5,1361,1.871,44.6699,-74.9581,1
5,0.0,0.0,5,1405,2.608,42.8847,-78.8037,1
5,0.0,0.0,5,1421,1.8719999999999999,42.8847,-78.8037,1
5,0.0,0.0,5,1441,2.188,43.0593,-77.6073,1
5,0.0,0.0,5,1446,1.9240000000000002,43.0593,-77.6073,1
5,0.0,0.0,5,1471,1.4509999999999998,42.0849,-78.4895,1
5,0.0,0.0,5,1481,2.029,42.4695,-76.4648,1
5,0.0,0.0,5,1482,1.5030000000000001,42.1592,-77.1117,1
5,0.0,0.0,5,1501,1.662,40.72,-80.2959,1
5,0.0,0.0,5,1512,1.4509999999999998,40.4468,-80.0826,1
5,0.0,0.0,5,1513,2.45,40.4468,-80.0826,1
5,0.0,0.0,5,1522,1.714,40.4575,-80.0302,1
5,0.0,0.0,5,1631,1.5030000000000001,41.6217,-80.2082,1
5,0.0,0.0,5,1632,1.556,41.6606,-78.8,1
5,0.0,0.0,5,1686,2.24,41.56,-77.11,1
5,0.0,0.0,5,1701,1.8719999999999999,40.2429,-76.8472,1
5,0.0,0.0,5,1711,2.241,40.2429,-76.8472,1
5,0.0,0.0,5,1731,1.766,39.7721,-77.2408,1
5,0.0,0.0,5,1801,1.661,40.6675,-75.3848,1
5,0.0,0.0,5,1901,1.662,39.8586,-75.2606,1
5,0.0,0.0,5,1903,1.871,39.8586,-75.2606,1
5,0.0,0.0,5,1905,1.8719999999999999,40.1607,-75.1392,1
5,0.0,0.0,5,1906,1.714,40.1607,-75.1392,1
5,0.0,0.0,5,1914,2.082,39.9137,-75.1469,1
5,0.0,0.0,5,1917,3.556,39.9137,-75.1469,1
5,0.0,0.0,5,1931,1.9769999999999999,39.9881,-75.5813,1
5,0.0,0.0,5,1934,3.556,39.9881,-75.5813,1
5,0.0,0.0,5,1943,1.9769999999999999,39.9881,-75.5813,1
5,0.0,0.0,5,1972,1.82,39.6893,-75.6998,1
5,0.0,0.0,5,1974,1.662,39.6893,-75.6998,1
5,0.0,0.0,5,2002,1.5030000000000001,38.9406,-76.8634,1
5,0.0,0.0,5,2003,4.7669999999999995,38.9406,-76.8634,1
5,0.0,0.0,5,2004,2.661,38.9406,-76.8634,1
5,0.0,0.0,5,2072,2.293,38.942,-76.8684,1
5,0.0,0.0,5,2081,2.187,39.118,-77.193,1
5,0.0,0.0,5,2082,1.819,39.0934,-76.8994,1
5,0.0,0.0,5,2083,3.292,39.0934,-76.8994,1
5,0.0,0.0,5,2087,1.82,39.0124,-76.99824,1
5,0.0,0.0,5,2114,1.767,39.5203,-76.6433,1
5,0.0,0.0,5,2121,1.556,39.2626,-76.675,1
5,0.0,0.0,5,2124,2.8710000000000004,39.5203,-76.6433,1
5,0.0,0.0,5,2127,1.714,39.2626,-76.675,1
5,0.0,0.0,5,2142,1.609,39.2996,-76.5375,1
5,0.0,0.0,5,2171,2.241,39.3631,-77.4326,1
5,0.0,0.0,5,2201,2.135,38.8907,-77.4632,1
5,0.0,0.0,5,2202,2.556,38.8907,-77.4632,1
5,0.0,0.0,5,2203,2.503,38.8907,-77.4632,1
5,0.0,0.0,5,2207,1.767,38.8907,-77.4632,1
5,0.0,0.0,5,2211,2.24,22.23405714,-44.20874286,1
5,0.0,0.0,5,2212,1.767,22.23405714,-44.20874286,1
5,0.0,0.0,5,2214,2.03,38.8034,-77.0911,1
5,0.0,0.0,5,2241,1.4509999999999998,37.7757,-76.5148,1
5,0.0,0.0,5,2302,3.24,0.0,0.0,1
5,0.0,0.0,5,2315,1.662,37.62523333,-77.78046667,1
5,0.0,0.0,5,2321,1.82,37.4029,-77.4163,1
5,0.0,0.0,5,2322,1.556,37.4029,-77.4163,1
5,0.0,0.0,5,2332,1.556,36.8939,-76.1905,1
5,0.0,0.0,5,2341,1.609,36.8939,-76.1905,1
5,0.0,0.0,5,2362,1.767,37.0917,-76.4765,1
5,0.0,0.0,5,2363,5.872000000000001,37.0917,-76.4765,1
5,0.0,0.0,5,2394,1.4509999999999998,37.0403,-78.4836,1
5,0.0,0.0,5,2451,1.609,36.5952,-79.428,1
